Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Work Hours per Week,Sleep Hours,Work-Life Balance Score,Manager Support Score,Deadline Pressure Score,Team Size,Recognition Frequency,Rango_Descanso
Female,Service,Yes,3,5,6.6,0.43,56,6.6,2,3,4,7,1,7.0
Female,Service,Yes,1,4,5.1,0.41,56,6.2,2,1,5,16,1,6.5
Female,Service,No,3,5,5.9,0.5,49,5.1,2,1,5,19,0,5.5
Male,Service,No,3,6,7.1,0.53,51,5.7,1,2,4,4,0,6.0
Female,Service,No,2,4,6.2185635029775215,0.5,51,5.7,1,3,5,17,1,6.0
Female,Service,Yes,3,5,5.4,0.49,55,5.5,1,2,5,6,1,5.5
Female,Product,Yes,1,4,4.4,0.32,43,6.5,3,4,1,9,5,6.5
Male,Service,Yes,2,4,4.5,0.32,37,6.8,3,3,3,4,5,7.0
Male,Service,No,2,6,6.6,0.51,50,5.2,2,3,4,8,0,5.5
Male,Service,Yes,2,5,5.8,0.49,57,5.7,2,3,4,15,0,6.0
Male,Service,No,3,6,8.865733169810014,0.79,56,6.7,2,2,5,4,1,7.0
Male,Service,Yes,2,4,7.2,0.63,48,6.0,2,3,5,13,1,6.0
Female,Service,No,1,3,1.5,0.11,43,7.0,4,4,3,8,2,7.0
Male,Service,Yes,2,5,5.2,0.35,35,5.6,3,5,2,8,4,6.0
Female,Service,No,1,4,6.2,0.4,38,6.7,4,4,1,5,5,7.0
Female,Service,Yes,1,3,5.861324024262814,0.46,54,5.3,1,2,5,11,0,5.5
Male,Service,No,3,6,5.7,0.39,39,7.9,3,3,3,9,4,8.0
Male,Service,No,2,5,7.3,0.53,48,5.5,2,2,4,3,0,5.5
Female,Service,No,1,2,4.6,0.35,44,6.0,3,3,3,16,3,6.0
Female,Service,Yes,3,6,7.3,0.67,55,5.4,2,2,4,15,1,5.5
Female,Product,No,0,1,1.9,0.1,43,7.3,3,3,1,15,4,7.5
Male,Service,No,4,8,9.0,0.78,56,5.2,2,2,5,5,1,5.5
Female,Product,Yes,3,5,5.9,0.5,52,6.2,1,1,5,18,1,6.5
Male,Service,No,2,4,6.9,0.59,57,5.0,1,3,4,18,0,5.0
Male,Service,Yes,1,4,5.9,0.38,43,7.1,4,3,3,9,3,7.5
Male,Product,Yes,3,6,6.7018337890525626,0.56,54,5.4,1,2,4,8,0,5.5
Female,Service,No,1,1,1.7,0.09,40,6.3,5,5,3,12,4,6.5
Female,Service,Yes,1,3,2.6,0.19,35,6.7,4,4,1,5,5,7.0
Female,Product,No,1,1,0.5,0.05,43,5.6,3,5,1,12,2,6.0
Female,Service,Yes,0,1,3.8,0.27,40,6.7,4,4,3,15,4,7.0
Female,Product,Yes,3,5,6.0,0.54,54,6.1,2,3,5,17,1,6.5
Female,Service,No,4,7,7.4,0.61,48,5.6,2,2,4,13,0,6.0
Female,Service,Yes,3,5,4.5,0.33,44,8.0,5,5,2,5,2,8.0
Male,Service,No,4,7,9.1,0.75,55,6.1,1,2,4,3,1,6.5
Male,Service,No,3,6,5.7,0.54,51,5.3,2,1,4,10,0,5.5
Male,Service,Yes,2,2,2.6,0.21,35,6.4,3,3,2,14,2,6.5
Female,Product,No,3,6,8.2,0.82,53,5.3,1,2,4,12,1,5.5
Female,Service,Yes,3,4,4.1,0.28,42,7.3,4,3,2,17,4,7.5
Male,Service,No,4,7,8.1,0.7,56,5.8,1,1,4,11,1,6.0
Female,Product,Yes,1,1,0.8,0.01,38,6.9,4,4,1,17,2,7.0
Female,Product,Yes,0,1,3.0,0.16,44,6.7,4,5,2,9,5,7.0
Female,Service,No,4,9,8.1,0.75,59,5.6,2,1,4,18,1,6.0
Female,Product,No,3,5,5.4,0.43,59,5.4,2,3,4,18,1,5.5
Male,Service,Yes,2,5,6.8,0.45,54,6.2,2,3,5,6,0,6.5
Male,Product,No,2,5,6.7,0.66,49,5.7,1,2,4,9,1,6.0
Male,Product,No,0,2,2.8,0.12,41,7.0,4,3,3,5,4,7.0
Female,Service,Yes,1,2,5.1,0.43,50,4.8,1,3,5,15,0,5.0
Female,Service,Yes,3,6,7.3,0.51,52,5.3,2,3,4,6,1,5.5
Female,Service,Yes,2,4,5.0,0.39,37,7.2,3,5,3,17,2,7.5
Male,Service,No,4,7,7.2,0.59,55,5.6,2,3,5,12,1,6.0
Female,Service,Yes,1,2,2.0,0.1,43,7.3,5,3,3,12,3,7.5
Male,Service,No,4,8,8.0,0.77,58,5.5,1,3,4,15,0,5.5
Male,Service,No,2,3,5.6,0.4,43,7.0,5,3,3,13,2,7.0
Male,Service,No,4,8,8.9,0.81,51,5.2,1,1,5,15,1,5.5
Female,Product,Yes,2,5,6.0,0.48,48,5.7,1,3,4,9,1,6.0
Female,Service,No,2,6,6.1,0.52,55,5.4,2,1,4,6,1,5.5
Female,Product,No,2,4,6.6,0.43,54,5.5,1,3,4,10,0,5.5
Female,Service,Yes,0,1,2.7,0.12,36,7.1,4,3,1,18,4,7.5
Female,Service,Yes,3,5,5.4,0.42,52,4.9,2,1,5,18,1,5.0
Male,Service,Yes,4,8,7.2,0.71,49,4.9,2,3,5,9,0,5.0
Male,Service,No,1,2,2.6755190513957077,0.12,43,6.9,4,3,2,3,5,7.0
Female,Service,No,2,2,2.1,0.15,41,6.7,5,4,1,13,4,7.0
Female,Service,No,4,9,10.0,0.99,51,5.3,1,1,4,10,0,5.5
Female,Product,Yes,1,3,5.2,0.29,42,6.6,5,3,3,11,5,7.0
Female,Product,No,2,3,5.6,0.43,48,4.3,1,3,5,16,1,4.5
Female,Service,No,1,1,2.4562164611861905,0.09,36,7.0,4,4,3,10,2,7.0
Male,Service,Yes,0,1,1.5532872457391993,0.0,39,7.7,4,4,1,16,4,8.0
Female,Service,Yes,1,1,4.0,0.17,39,6.9,5,4,3,9,4,7.0
Female,Product,Yes,2,4,3.8,0.31,41,6.2,4,5,1,16,5,6.5
Male,Service,Yes,2,3,4.3,0.36,36,6.7,3,4,1,18,4,7.0
Female,Service,Yes,3,5,5.0,0.4,37,6.7,5,3,1,5,5,7.0
Male,Service,Yes,2,5,5.8,0.49,51,5.7,2,1,4,7,0,6.0
Female,Service,Yes,2,4,5.1,0.42,54,5.6,2,2,5,10,0,6.0
Male,Service,No,2,6,6.9,0.58,59,6.2,2,3,5,17,0,6.5
Female,Product,Yes,0,1,3.4,0.25,38,6.6,4,4,3,18,4,7.0
Male,Product,No,1,2,6.6,0.43,53,6.0,2,3,4,17,1,6.0
Female,Service,Yes,1,1,2.0,0.04,42,7.6,5,3,2,14,3,8.0
Male,Service,Yes,3,7,6.6,0.52,55,5.4,1,2,4,16,0,5.5
Female,Service,Yes,3,5,6.5,0.5,49,6.0,2,3,4,11,0,6.0
Female,Product,Yes,1,3,6.5,0.48,56,5.6,1,3,5,4,1,6.0
Female,Service,No,3,5,6.8,0.6,50,5.5,2,2,4,8,1,5.5
Male,Product,Yes,4,8,8.4,0.75,52,5.3,1,1,5,16,0,5.5
Male,Product,Yes,1,4,4.6,0.37,36,7.0,4,4,2,6,3,7.0
Female,Service,No,2,5,6.2,0.53,55,5.6,1,1,5,11,1,6.0
Male,Service,Yes,0,1,4.109032430918975,0.27,37,7.3,5,5,3,15,4,7.5
Female,Product,No,1,1,3.1,0.22,40,6.8,4,3,3,3,5,7.0
Female,Product,No,2,4,5.0,0.31,42,7.2,5,4,2,14,2,7.5
Female,Product,No,3,7,7.3,0.72,59,5.5,2,3,5,5,1,5.5
Male,Product,No,2,4,6.9,0.51,51,5.8,1,1,4,4,0,6.0
Female,Service,Yes,2,5,5.5,0.5,48,5.5,1,3,4,14,1,5.5
Male,Product,Yes,2,6,7.6,0.72,51,5.1,2,1,5,15,1,5.5
Female,Product,No,3,6,8.5,0.8,56,5.3,2,2,5,12,1,5.5
Male,Service,No,2,7,8.2,0.71,59,6.2,1,3,4,17,0,6.5
Female,Service,Yes,3,4,6.4,0.47,48,5.2,2,3,5,3,0,5.5
Male,Product,Yes,0,1,3.5,0.13,40,7.8,5,4,1,10,5,8.0
Female,Service,Yes,1,2,3.2,0.25,39,7.9,5,3,3,12,5,8.0
Male,Product,Yes,1,4,6.1,0.38,39,7.1,5,4,1,9,2,7.5
Female,Service,No,0,1,4.2,0.19,41,7.5,4,4,3,12,3,7.5
Female,Product,No,3,6,8.7,0.77,48,6.5,1,2,4,15,1,6.5
Female,Product,No,2,5,7.2,0.54,53,5.9,1,3,5,7,1,6.0
Female,Product,Yes,1,2,4.652823959778157,0.33,37,7.5,5,4,3,8,4,7.5
Male,Service,No,3,7,6.1,0.54,48,5.8,1,2,4,17,1,6.0
Female,Service,No,3,5,6.3,0.45,54,5.8,2,3,4,13,1,6.0
Male,Service,No,1,4,5.9,0.51,57,4.9,2,2,4,10,1,5.0
Female,Service,No,0,1,2.3,0.1,38,7.0,5,4,2,6,2,7.0
Female,Product,Yes,1,4,4.8,0.33,40,6.5,4,4,3,8,3,6.5
Female,Product,Yes,3,7,8.6,0.74,51,5.7,2,1,5,13,0,6.0
Female,Service,Yes,1,3,3.4,0.2,44,6.2,4,5,1,7,5,6.5
Female,Service,No,2,3,3.3,0.21,40,6.7,3,5,1,19,2,7.0
Female,Service,No,1,2,0.0,0.0,36,7.7,3,3,2,19,5,8.0
Male,Service,Yes,3,4,3.8,0.33,38,6.7,5,5,2,10,2,7.0
Female,Service,No,1,3,5.74927659949583,0.45,59,5.3,2,3,4,6,1,5.5
Male,Product,No,2,4,5.6,0.32,38,7.5,3,3,2,18,4,7.5
Male,Service,No,3,6,7.8,0.58,59,5.1,2,1,5,3,1,5.5
Female,Service,Yes,2,4,8.6,0.69,58,6.0,1,3,5,17,0,6.0
Male,Service,No,4,6,7.5,0.62,57,5.4,1,2,4,3,1,5.5
Female,Product,Yes,2,5,5.1,0.37,37,8.1,3,4,1,7,5,8.5
Male,Service,No,5,8,8.1,0.82,52,5.3,2,1,4,18,0,5.5
Male,Service,No,4,8,6.1,0.58,51,4.6,2,1,5,15,1,5.0
Male,Service,No,3,7,8.152360353758215,0.72,58,4.6,2,3,4,16,1,5.0
Male,Product,Yes,1,2,3.6,0.29,44,7.2,3,5,1,19,4,7.5
Female,Product,Yes,2,4,3.5,0.17,44,7.4,5,4,1,6,4,7.5
Male,Product,Yes,4,6,6.8,0.61,57,5.1,1,3,4,3,0,5.5
Female,Product,No,2,4,6.1,0.44,56,5.1,2,3,4,8,1,5.5
Female,Service,No,2,3,3.9,0.29,38,8.0,5,4,3,6,2,8.0
Female,Product,Yes,2,5,5.6,0.53,59,4.3,1,3,4,19,0,4.5
Male,Service,No,2,6,7.5,0.58,48,6.2,2,2,4,13,0,6.5
Female,Product,Yes,1,2,4.3,0.22,36,8.0,3,4,1,16,3,8.0
Female,Product,No,3,6,7.1,0.5,49,6.5,2,3,5,9,1,6.5
Male,Product,Yes,3,7,9.0,0.73,50,5.6,2,3,5,18,1,6.0
Female,Service,Yes,1,2,2.4,0.16,36,7.1,4,3,2,9,5,7.5
Male,Service,Yes,1,2,5.4,0.33,44,7.3,5,4,3,14,3,7.5
Female,Service,No,2,3,3.9,0.23,38,7.1,5,3,3,5,2,7.5
Female,Service,No,5,10,8.8,0.77,58,6.2,2,3,5,14,0,6.5
Female,Service,No,2,4,5.0,0.44,48,6.4,2,1,4,18,1,6.5
Male,Product,No,3,6,8.4,0.65,50,5.9,1,2,4,6,1,6.0
Female,Product,Yes,3,6,6.5,0.43,51,6.8,2,3,4,7,0,7.0
Female,Product,Yes,2,5,8.2,0.69,53,4.6,2,3,5,6,1,5.0
Female,Service,No,2,4,6.9,0.47,52,6.3,1,1,5,8,1,6.5
Male,Service,No,2,3,4.3,0.35,41,7.7,5,4,1,15,3,8.0
Female,Service,No,1,3,6.5,0.43,55,5.1,1,2,5,4,0,5.5
Female,Service,Yes,1,3,5.7,0.4,41,5.8,5,5,1,14,4,6.0
Male,Service,Yes,0,1,3.8,0.23,42,7.1,4,5,1,4,5,7.5
Male,Service,Yes,3,5,7.1,0.51,56,5.4,2,1,4,13,0,5.5
Male,Service,No,3,7,8.5,0.75,48,5.6,1,1,4,15,0,6.0
Female,Service,No,2,3,6.6,0.42,50,5.7,1,1,4,7,0,6.0
Male,Service,Yes,0,1,0.0,0.0,36,7.2,5,3,2,5,2,7.5
Female,Service,No,4,8,7.3,0.53,58,5.4,2,3,5,13,1,5.5
Male,Service,Yes,1,2,5.5,0.47,49,5.5,1,1,4,9,0,5.5
Male,Product,Yes,2,6,5.6,0.53,56,5.1,2,1,4,10,1,5.5
Female,Service,Yes,1,1,3.4,0.13,41,6.6,5,5,2,15,3,7.0
Male,Service,Yes,4,6,7.7,0.68,55,6.0,2,2,4,12,0,6.0
Female,Product,No,3,6,6.328823017670775,0.52,59,5.5,1,3,4,15,1,5.5
Male,Service,No,3,6,6.9,0.51,56,5.5,1,1,5,16,0,5.5
Male,Service,No,3,5,6.1,0.43,55,5.3,1,3,4,11,0,5.5
Male,Service,Yes,3,5,6.296072477605732,0.51,55,5.1,1,2,5,7,0,5.5
Male,Service,Yes,2,4,5.1,0.47,48,4.4,2,1,4,17,1,4.5
Female,Service,No,3,6,7.2,0.53,59,5.5,2,2,5,13,1,5.5
Female,Service,No,2,2,3.7,0.17,38,7.2,3,5,2,4,3,7.5
Male,Product,No,0,1,2.6,0.11,39,6.9,3,3,1,4,4,7.0
Male,Service,No,3,7,9.383609781592671,0.85,58,3.9,1,3,5,14,0,4.0
Female,Service,Yes,3,5,6.2,0.58,58,5.3,2,1,4,14,1,5.5
Female,Service,Yes,2,3,5.4,0.38,41,6.6,4,4,3,3,5,7.0
Female,Service,No,1,4,6.0,0.52,48,5.6,1,3,5,5,1,6.0
Male,Product,Yes,3,5,5.7,0.45,53,5.1,2,2,4,13,1,5.5
Male,Product,No,4,7,8.0,0.77,48,5.9,2,3,5,5,0,6.0
Male,Service,No,2,5,5.9,0.55,59,4.4,2,2,4,7,1,4.5
Male,Product,No,2,3,4.5,0.31,40,7.7,3,5,3,5,4,8.0
Male,Product,No,2,4,4.8,0.34,39,7.4,4,5,2,19,5,7.5
Male,Product,No,3,5,6.0,0.53,51,5.4,2,2,5,4,1,5.5
Male,Service,Yes,4,7,9.0,0.81,51,6.1,2,2,5,12,1,6.5
Male,Service,No,2,4,7.7,0.56,57,6.1,2,1,5,10,0,6.5
Male,Service,No,5,9,8.978912189292931,0.81,50,4.6,1,2,5,7,1,5.0
Male,Service,Yes,1,3,4.8,0.3,36,6.8,4,4,3,13,3,7.0
Female,Service,Yes,2,5,6.3445179503229046,0.52,48,5.6,2,1,4,12,0,6.0
Male,Product,No,3,7,8.6,0.87,57,6.2,1,1,4,7,1,6.5
Male,Service,Yes,3,6,8.1,0.85,53,5.7,1,3,5,14,0,6.0
Male,Service,No,1,3,4.0,0.3,43,7.4,4,5,2,11,3,7.5
Female,Service,Yes,4,7,7.3,0.55,50,5.5,2,3,4,17,0,5.5
Female,Service,Yes,2,4,6.125317173466654,0.49,53,5.8,2,3,5,5,0,6.0
Male,Product,Yes,0,1,3.8,0.22,37,6.0,5,5,3,9,5,6.0
Female,Product,No,4,8,9.9,0.85,56,6.1,2,3,5,16,0,6.5
Male,Service,No,3,6,7.5,0.6,59,5.7,1,3,5,12,0,6.0
Male,Service,No,3,5,6.6,0.43,55,5.4,2,1,5,16,1,5.5
Male,Product,No,3,5,6.7,0.65,54,5.1,2,3,5,17,1,5.5
Female,Service,Yes,2,4,3.7,0.28,35,7.4,4,4,2,6,3,7.5
Female,Service,Yes,1,1,2.4,0.06,35,6.4,4,4,2,3,2,6.5
Female,Product,Yes,3,4,3.4,0.29,40,7.6,4,5,2,11,2,8.0
Female,Service,Yes,2,4,6.5,0.42,56,6.3,2,1,4,13,0,6.5
Male,Service,No,0,1,0.2,0.02,41,7.1,4,3,3,11,2,7.5
Female,Product,Yes,2,5,6.1,0.56,58,5.1,1,2,5,17,0,5.5
Female,Product,No,3,6,7.6,0.65,53,5.2,1,2,5,7,0,5.5
Male,Service,Yes,3,5,6.0,0.49,50,6.7,2,1,5,15,0,7.0
Female,Service,Yes,2,5,6.6,0.47,51,4.8,2,2,4,16,1,5.0
Female,Service,No,3,6,4.5,0.4,44,6.8,3,4,3,18,5,7.0
Female,Service,No,1,2,3.4,0.16,37,7.3,4,5,2,5,2,7.5
Female,Service,Yes,2,4,4.6,0.36,36,7.1,4,5,1,19,4,7.5
Male,Service,No,2,3,6.148236225738564,0.49,56,5.9,1,1,4,7,1,6.0
Male,Service,No,2,6,7.0,0.51,49,6.2,2,3,5,18,0,6.5
Female,Product,Yes,2,2,4.8,0.28,39,7.3,5,4,2,12,4,7.5
Female,Service,No,3,6,7.2,0.56,51,5.1,1,1,4,18,0,5.5
Female,Service,Yes,1,4,4.38285706791595,0.31,37,7.4,5,4,3,9,3,7.5
Female,Service,Yes,3,5,5.5,0.31,42,6.4,3,4,3,17,5,6.5
Female,Product,No,1,1,4.5,0.21,43,7.3,3,3,2,11,5,7.5
Male,Service,No,3,6,7.6,0.57,51,5.6,1,2,4,6,0,6.0
Male,Product,No,1,4,7.3,0.51,50,5.6,2,3,4,19,0,6.0
Male,Service,Yes,1,3,5.6,0.36,42,5.7,4,5,2,5,4,6.0
Male,Service,No,2,3,2.6,0.18,41,6.8,3,4,3,4,2,7.0
Female,Service,No,1,3,3.0,0.18,37,7.3,5,3,2,19,4,7.5
Male,Service,Yes,3,7,7.5,0.65,57,6.3,2,2,5,6,1,6.5
Male,Product,No,3,6,4.5,0.33,39,7.7,5,5,1,12,2,8.0
Male,Service,No,2,2,3.6,0.27,44,7.1,4,5,2,11,2,7.5
Male,Service,No,2,3,6.4,0.42,49,4.4,2,2,5,6,1,4.5
Male,Product,No,3,7,7.4,0.61,56,5.3,2,2,4,19,0,5.5
Female,Service,Yes,2,3,6.0,0.5,58,5.7,1,3,5,16,0,6.0
Female,Product,No,1,3,4.8,0.42,53,5.0,2,3,5,6,1,5.0
Male,Service,Yes,2,4,4.5,0.4,42,6.6,4,4,2,16,2,7.0
Female,Service,Yes,2,3,2.473170255245838,0.1,39,7.1,5,5,2,14,3,7.5
Female,Service,Yes,2,3,5.7,0.33,41,7.1,5,4,3,10,4,7.5
Female,Product,No,4,7,7.9,0.64,48,5.7,2,2,4,18,0,6.0
Female,Product,No,3,4,4.8,0.38,37,7.3,4,4,2,3,2,7.5
Female,Product,No,2,5,6.9,0.51,52,4.6,1,1,4,14,0,5.0
Male,Service,Yes,4,8,6.8,0.62,57,5.2,1,2,5,6,1,5.5
Female,Product,Yes,2,4,5.7,0.43,52,6.1,2,1,5,11,1,6.5
Female,Service,Yes,1,2,4.3,0.25,37,8.0,4,3,1,15,4,8.0
Female,Service,Yes,5,8,8.1,0.78,50,4.7,2,2,4,3,0,5.0
Female,Product,No,2,2,4.1,0.23,39,7.2,3,3,3,11,3,7.5
Female,Service,No,4,7,8.7,0.79,50,5.4,1,3,4,19,1,5.5
Female,Service,No,4,8,7.7,0.64,57,6.0,1,2,5,11,1,6.0
Male,Product,No,3,6,6.3,0.61,54,5.2,1,3,4,14,0,5.5
Female,Service,No,1,2,4.4,0.22,42,7.7,3,4,2,12,2,8.0
Male,Product,Yes,1,2,4.9,0.25,40,6.6,4,5,1,10,5,7.0
Female,Service,No,3,4,6.7,0.46,52,6.0,1,3,5,19,1,6.0
Female,Service,Yes,1,1,2.0,0.08,43,7.6,5,3,3,18,3,8.0
Female,Service,Yes,2,5,8.2,0.62,55,6.1,2,3,4,15,0,6.5
Female,Service,Yes,3,4,6.2,0.49,48,5.7,1,3,4,17,1,6.0
Male,Product,Yes,2,6,9.5,0.79,48,5.5,1,1,4,9,1,5.5
Female,Service,Yes,2,3,2.7529262126706513,0.13,35,6.7,4,5,2,5,3,7.0
Female,Service,No,1,2,6.2,0.41,52,5.6,2,1,5,6,1,6.0
Male,Product,Yes,4,7,6.8,0.51,56,5.9,2,2,5,10,1,6.0
Female,Service,No,3,7,7.8,0.6,48,5.0,2,2,4,18,1,5.0
Female,Product,Yes,3,7,8.3,0.8,49,5.7,1,1,5,17,1,6.0
Female,Service,Yes,1,2,2.7,0.22,39,7.2,4,4,3,4,5,7.5
Male,Service,Yes,2,2,3.4,0.27,38,6.6,5,4,1,4,2,7.0
Male,Product,Yes,1,1,1.4,0.07,40,6.5,4,4,1,5,3,6.5
Female,Service,No,1,1,1.0,0.08,43,7.1,4,4,2,5,3,7.5
Female,Service,No,3,7,6.772220457414259,0.57,56,5.5,2,1,5,5,0,5.5
Female,Product,Yes,0,1,3.7,0.29,36,7.2,5,4,1,11,3,7.5
Female,Service,Yes,1,3,5.226276834990605,0.4,35,6.9,4,4,1,18,2,7.0
Male,Service,Yes,2,3,3.4,0.18,41,7.3,3,3,2,4,3,7.5
Female,Service,Yes,1,2,3.4,0.15,38,7.7,5,4,2,10,5,8.0
Female,Service,No,2,3,3.984218062735633,0.26,40,6.2,5,5,3,17,2,6.5
Female,Product,No,5,9,10.0,0.88,56,5.4,1,3,4,3,0,5.5
Male,Service,No,3,7,7.6,0.58,52,5.9,2,3,4,12,0,6.0
Female,Service,Yes,0,1,3.3,0.11,43,7.2,4,4,3,11,4,7.5
Female,Product,Yes,0,1,0.5,0.02,38,6.4,5,5,2,13,5,6.5
Female,Product,Yes,0,1,2.2,0.16,40,6.9,5,4,1,15,2,7.0
Male,Service,No,1,4,6.6,0.57,55,5.9,1,2,4,10,1,6.0
Male,Product,Yes,3,5,5.232395831291418,0.4,40,7.1,5,4,3,9,2,7.5
Female,Product,Yes,2,5,6.3,0.55,59,5.8,1,2,5,7,0,6.0
Female,Product,Yes,2,3,4.6,0.29,43,6.6,4,4,1,4,5,7.0
Female,Service,Yes,2,3,6.5,0.47,58,5.2,2,2,5,12,1,5.5
Male,Service,Yes,3,6,4.0,0.32,39,7.9,4,4,2,6,5,8.0
Male,Product,No,2,5,4.7,0.35,39,6.7,4,4,1,17,4,7.0
Female,Service,Yes,2,5,4.5,0.31,41,7.0,3,4,2,18,4,7.0
Male,Service,No,3,7,8.3,0.7,48,5.6,1,1,4,11,0,6.0
Female,Product,Yes,0,1,3.7,0.2,38,7.0,4,5,2,12,3,7.0
Male,Product,No,2,4,6.38631445786588,0.52,57,5.9,1,1,4,6,1,6.0
Male,Product,Yes,3,4,6.2,0.4,42,6.4,4,4,3,13,3,6.5
Female,Product,Yes,2,4,6.3,0.48,58,4.7,2,1,5,19,0,5.0
Female,Service,Yes,1,1,4.5,0.27,37,6.1,5,5,1,18,3,6.5
Female,Service,Yes,1,2,4.3,0.23,36,7.1,5,3,3,5,4,7.5
Male,Product,No,5,8,8.927436913986725,0.8,58,4.9,2,1,5,3,0,5.0
Female,Service,No,1,2,1.5,0.12,41,7.3,4,4,3,11,5,7.5
Female,Service,Yes,1,4,5.1,0.46,55,5.3,2,2,4,12,1,5.5
Male,Product,Yes,3,6,7.9,0.58,50,4.8,2,3,5,9,1,5.0
Female,Service,Yes,1,3,5.0,0.44,58,6.1,2,2,5,17,1,6.5
Female,Service,No,5,10,10.0,0.91,50,5.4,1,2,5,16,1,5.5
Female,Service,No,3,5,5.2,0.36,40,6.9,5,3,2,17,5,7.0
Female,Product,No,3,5,7.4,0.55,59,7.3,1,2,4,3,0,7.5
Male,Product,Yes,1,3,6.2,0.42,54,5.8,2,1,4,16,0,6.0
Male,Product,Yes,3,6,4.7,0.31,40,6.9,5,3,3,8,2,7.0
Male,Service,Yes,3,4,5.6,0.41,50,5.6,1,3,4,11,1,6.0
Male,Service,No,3,6,6.7,0.57,51,6.1,1,3,4,16,1,6.5
Male,Service,No,0,1,3.5,0.16,43,6.8,5,4,1,14,5,7.0
Female,Service,Yes,1,3,6.0,0.41,58,5.7,1,2,5,13,0,6.0
Female,Service,No,1,3,4.5,0.4,43,7.2,4,4,1,19,2,7.5
Female,Product,Yes,2,5,5.4307199993326565,0.42,49,5.0,2,3,5,14,0,5.0
Female,Product,No,3,5,6.4,0.58,51,5.4,1,3,5,10,1,5.5
Female,Product,No,2,4,6.3,0.4,40,7.1,4,5,1,4,5,7.5
Male,Service,No,1,2,4.5,0.21,42,6.3,4,5,2,7,2,6.5
Female,Product,Yes,1,2,4.6,0.39,38,6.9,3,5,1,11,2,7.0
Female,Service,No,3,6,6.2,0.56,49,5.0,1,3,5,3,1,5.0
Male,Product,Yes,3,5,6.5,0.44,53,6.5,2,2,4,13,0,6.5
Female,Service,Yes,0,1,0.3,0.0,36,6.7,3,4,3,18,5,7.0
Female,Service,No,4,6,7.8,0.61,53,5.6,1,3,5,11,0,6.0
Female,Service,Yes,1,3,4.8,0.36,43,7.2,3,4,2,15,2,7.5
Female,Service,Yes,2,4,6.6,0.46,56,5.7,1,3,5,18,1,6.0
Female,Service,No,2,5,4.2,0.36,37,8.2,5,4,2,4,5,8.5
Female,Service,No,2,4,7.0,0.51,57,5.3,1,1,5,17,1,5.5
Female,Service,No,0,1,2.4,0.07,42,7.0,5,3,2,10,3,7.0
Male,Product,No,1,3,6.8,0.52,56,5.7,2,2,5,12,1,6.0
Male,Product,Yes,1,3,5.7,0.34,44,7.8,4,3,1,10,2,8.0
Male,Service,Yes,1,3,4.7,0.41,49,5.2,2,3,5,12,0,5.5
Male,Product,No,1,1,0.6,0.05,39,7.4,3,3,2,3,5,7.5
Male,Service,No,2,4,5.7,0.48,48,5.0,1,1,5,3,1,5.0
Female,Service,Yes,1,1,0.0,0.0,42,6.7,3,4,2,12,4,7.0
Female,Product,Yes,3,6,6.8,0.62,54,5.8,1,1,5,17,1,6.0
Male,Service,No,4,8,9.6,0.8,58,5.8,1,2,5,18,1,6.0
Female,Service,Yes,1,4,5.7,0.34,39,6.8,4,4,2,15,2,7.0
Male,Service,No,3,5,6.650299122623615,0.55,55,5.6,2,2,4,8,1,6.0
Female,Product,Yes,0,1,3.2,0.21,35,7.4,3,5,2,7,4,7.5
Female,Product,Yes,2,4,5.5,0.5,49,5.7,2,2,4,6,0,6.0
Male,Service,Yes,2,4,5.8,0.4,41,6.2,5,5,1,7,5,6.5
Male,Product,No,2,4,6.8,0.45,53,4.9,2,3,4,13,0,5.0
Male,Service,No,2,5,8.0,0.66,53,5.8,2,2,4,5,1,6.0
Male,Service,Yes,2,4,5.6,0.45,56,5.5,2,1,4,16,0,5.5
Female,Product,Yes,1,3,5.5,0.37,41,7.5,4,5,1,10,3,7.5
Male,Product,Yes,2,2,3.1,0.23,38,7.1,3,5,1,8,5,7.5
Male,Product,No,3,5,7.4,0.53,52,5.2,1,1,4,6,1,5.5
Male,Product,Yes,4,8,7.2,0.62,51,5.4,1,3,4,18,1,5.5
Female,Product,No,2,4,7.4,0.53,55,6.1,2,3,4,11,1,6.5
Female,Service,Yes,0,1,3.5,0.24,44,7.3,3,4,1,5,5,7.5
Male,Product,No,3,5,5.9,0.54,58,5.0,1,3,4,18,1,5.0
Female,Service,Yes,2,4,5.6,0.36,38,7.0,3,5,3,16,3,7.0
Male,Service,Yes,1,2,0.0,0.0,42,7.3,5,3,3,10,2,7.5
Female,Product,Yes,1,2,3.3,0.14,36,7.2,3,3,3,11,5,7.5
Female,Product,Yes,3,5,5.8,0.45,59,6.1,2,1,4,6,1,6.5
Male,Service,No,2,5,6.9,0.57,56,5.3,2,3,5,16,1,5.5
Female,Service,Yes,1,2,4.167672434722226,0.28,36,7.3,5,4,2,8,5,7.5
Male,Service,Yes,2,4,7.5,0.53,48,4.8,1,1,4,15,1,5.0
Male,Product,No,3,7,8.5,0.73,55,5.7,1,1,5,16,1,6.0
Female,Product,No,1,3,4.5,0.38,37,6.1,4,3,1,11,3,6.5
Female,Product,Yes,1,3,6.2,0.41,51,5.0,1,1,5,7,1,5.0
Female,Service,No,2,5,8.8,0.8,58,5.4,1,1,5,11,0,5.5
